HESSI Flare List  (generated  5-Sep-2012 16:47)

Total # flares: 66106  Time range: 12-Feb-2002 21:29:56.000 - 31-Jul-2012 14:38:28.000
 
    Flare     Start time        Peak      End      Dur   Peak     Total      Energy X Pos Y Pos Radial   AR          Flags          
                                                     s    c/s    Counts         keV  asec  asec   asec                              

  7042828 28-Apr-2007 21:32:48 21:33:14 21:35:40   172     22     19416        6-12  -578  -164    601    0  A0 P1                    
  7042829 28-Apr-2007 21:45:52 21:46:42 21:57:12   680     56    125952        6-12  -572  -153    592    0  A0 DR P1 PE Q2           
  7042830 28-Apr-2007 22:00:16 22:01:30 22:04:36   260    160    147864        6-12  -573  -153    594    0  A0 DR P1 Q1              
  7042831 28-Apr-2007 23:08:00 23:08:58 23:10:04   124     22     11040        6-12  -562  -152    583    0  A0 P1                    
  7042809 28-Apr-2007 23:15:24 23:19:30 23:29:00   816    560    589128       12-25  -567  -148    586    0  A0 DR P1 PE Q2           
  7042835 28-Apr-2007 23:29:00 23:30:46 23:39:56   656     40    115152        6-12  -558  -208    596    0  A0 DR P1 PE Q2           
  7042907 29-Apr-2007 02:45:24 02:47:18 02:48:08   164     36     26208        6-12  -554  -131    569  953  A0 DR P1 PE Q2           
  7042911 29-Apr-2007 04:02:04 04:02:34 04:04:56   172     18     14280        6-12  -532  -160    556  953  A0 P1                    
  7042914 29-Apr-2007 05:40:16 05:41:14 05:45:24   308     36     41424        6-12  -522   -90    530  953  A0 P1                    
  7042917 29-Apr-2007 08:57:44 08:58:30 09:01:48   244     30     32304        6-12  -497  -153    520  953  A0 P1                    
  7042918 29-Apr-2007 10:22:00 10:22:30 10:24:16   136     26     18768        6-12  -480  -160    506  953  A0 P1                    
  7042902 29-Apr-2007 10:34:04 10:36:14 10:40:24   380     60     82368        6-12  -478  -167    507  953  A0 P1                    
  7042919 29-Apr-2007 10:47:28 10:50:26 10:51:32   244     80     69984        6-12  -487  -163    513  953  A0 EE P1 Q1              
  7042920 29-Apr-2007 11:53:32 11:53:58 12:01:04   452     40     62592        6-12   472  -151    495    0  A0 GS P1 Q1              
