gbm_id,time_start,time_peak,time_end,duration,rate_peak,total,detectors,trigger,rhessi_id
150127_2354|2015/01/27 23:54:28.000|2015/01/28 23:57:28.000|2015/01/28 00:03:37.000|549|5073|305945|n5 n4 n2 n3||
150128_0125|2015/01/28 01:25:13.000|2015/01/29 01:26:26.000|2015/01/29 01:29:39.000|266|1099|37597|n5 n1 n3 n0||
150128_0426|2015/01/28 04:26:49.000|2015/01/29 04:37:33.000|2015/01/29 05:08:36.000|2507|8681|1646865|n5 n1 n3 n0||15012816
150128_0519|2015/01/28 05:19:11.000|2015/01/29 05:24:06.000|2015/01/29 05:27:39.000|508|7788|612167|n5 n1 n3 n4||15012821
150128_0940|2015/01/28 09:40:35.000|2015/01/29 09:41:00.000|2015/01/29 09:41:33.000|57|2406|29252|n5 n3 n1 n4||
150128_1053|2015/01/28 10:53:05.000|2015/01/29 10:53:34.000|2015/01/29 10:56:59.000|233|1253|48387|n5 n4 n2 n3||
150128_1308|2015/01/28 13:08:40.000|2015/01/29 13:10:02.000|2015/01/29 13:12:21.000|221|1756|62430|n5 n1 n3 n4||
150129_0250|2015/01/29 02:50:05.000|2015/01/30 02:51:31.000|2015/01/30 02:53:30.000|205|6970|162378|n5 n1 n3 n0||
150129_0310|2015/01/29 03:10:47.000|2015/01/30 03:11:44.000|2015/01/30 03:16:14.000|328|8945|206572|n0 n1 n3 n6||15012908
150129_0422|2015/01/29 04:22:07.000|2015/01/30 04:22:36.000|2015/01/30 04:25:36.000|209|2037|58601|n5 n1 n3 n4||
150129_0428|2015/01/29 04:28:16.000|2015/01/30 04:30:27.000|2015/01/30 04:39:32.000|676|3880|238749|n5 n4 n2 n3||
150129_0553|2015/01/29 05:53:24.000|2015/01/30 05:58:31.000|2015/01/30 06:02:32.000|549|785|73725|n5 n4 n2 n3||
150129_0627|2015/01/29 06:27:48.000|2015/01/30 06:28:33.000|2015/01/30 06:29:10.000|82|1854|23137|n0 n1 n3 n6||15012917
150129_0920|2015/01/29 09:20:31.000|2015/01/30 09:21:12.000|2015/01/30 09:22:50.000|139|3415|46383|n0 n1 n3 n5||
