flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
10114	2014-05-24	10:58:00		10:59:00		11:15:00		S09	E18	SF	20	\n	
10115	2014-05-24	12:03:00		13:50:00		15:14:00		S19	W52	1F	120	20140524_1254-1457_big.avi\n	
10116	2014-05-25	07:24:00	B	07:24:00	U	07:32:00		S14	W50	SF	30	20140525_0713-0732_big.avi\n	
10117	2014-05-25	07:54:00		07:56:00		08:09:00		S17	W63	SF	50	20140525_0743-0806_big.avi\n	
10118	2014-05-25	08:10:00		08:39:00		09:01:00		S14	W51	SF	50	20140525_0829-0856_big.avi\n	
10119	2014-05-25	08:11:00		08:12:00		08:17:00		S10	E06	SF	15	\n	
10120	2014-05-25	11:57:00		12:00:00		12:14:00		S10	E20	SF	20	20140525_1147-1207_big.avi\n	
10121	2014-05-25	12:40:00		12:44:00		12:54:00		S10	E20	SF	10	\n	
10122	2014-05-25	13:30:00		13:34:00		13:49:00		S10	E20	SF	10	\n	
10123	2014-05-27	13:24:00	U	13:25:00	U	13:34:00		S12	W04	SF	20	20140527_1315-1331_big.avi\n	
10124	2014-06-02	07:31:00	B	07:31:00	U	07:34:00		S02	E43	SF	10	\n	
10125	2014-06-03	12:58:00		12:59:00		13:04:00		N14	E43	SF	25	\n	
10126	2014-06-04	04:35:00		04:36:00		04:42:00		N17	E35	SF	15	\n	
10127	2014-06-04	04:51:00		04:56:00		04:59:00		S07	E16	SF	15	\n	
10128	2014-06-04	05:12:00		05:14:00		05:23:00		N14	E36	SF	85	20140604_0501-0523_big.avi\n	
10129	2014-06-04	05:38:00		05:44:00		05:57:00		S05	E16	SF	35	20140604_0529-0553_big.avi\n	
10130	2014-06-04	06:06:00		06:08:00		06:12:00		S12	E57	SF	20	20140604_0621-0655_big.avi\n	
10131	2014-06-04	06:24:00		06:34:00		06:55:00		S06	E14	1N	135	\n	
10132	2014-06-04	10:54:00		10:58:00		11:06:00		S05	E12	SF	20	\n	
10133	2014-06-05	17:05:00	B	17:06:00		17:08:00		S11	E39	SF	20	\n	
10134	2014-06-06	05:16:00	B	05:24:00		05:33:00		N15	E37	SF	35	\n	
10135	2014-06-06	07:12:00		07:14:00	U	07:39:00		S12	E32	SF	20	20140606_0710-0733_big.avi\n	
10136	2014-06-06	10:21:00		10:26:00		10:43:00		S10	E28	SN	70	20140606_1012-1031_big.avi\n	
10137	2014-06-06	13:07:00		13:11:00		13:44:00		S11	E27	SN	85	20140606_1256-1338_big.avi\n	
10138	2014-06-06	13:54:00		13:58:00		14:00:00		S10	E26	SF	35	20140606_1346-1431_big.avi\n	
10139	2014-06-07	07:03:00		07:06:00		07:08:00		S12	E18	SN	20	20140607_0655-0707_big.avi\n	
10140	2014-06-07	08:16:00		08:17:00		08:18:00		S12	E18	SF	10	20140607_0806-0818_big.avi\n	
10141	2014-06-07	12:43:00		12:44:00		12:51:00		S10	E10	SF	20	20140607_1233-1246_big.avi\n	
10142	2014-06-08	11:23:00		11:25:00		11:29:00		S12	E02	SF	10	\n	
10143	2014-06-08	13:41:00		13:43:00		14:00:00		S18	E05	SF	10	\n	
10144	2014-06-08	16:53:00		16:55:00		17:09:00		S12	W00	SN	20	20140608_1643-1658_big.avi\n	
10145	2014-06-09	05:02:00		05:04:00		05:21:00		S19	W07	SF	50	20140609_0452-0517_big.avi\n	
10146	2014-06-09	05:57:00		06:06:00		06:11:00		S19	W08	SF	25	20140609_0555-0611_big.avi\n	
10147	2014-06-09	06:21:00		06:25:00		06:47:00		S19	W02	SF	35	20140609_0611-0659_big.avi\n	
10148	2014-06-09	07:20:00		07:25:00		07:36:00		S13	W18	SN	90	20140609_0712-0734_big.avi\n	
10149	2014-06-09	07:39:00		07:39:00		07:43:00		S13	W12	SF	25	\n	
10150	2014-06-09	09:08:00		09:14:00		09:43:00		S10	W12	SF	25	\n	
10151	2014-06-09	10:43:00		11:07:00		11:41:00		S11	W13	SF	35	20140609_1052-1120_big.avi\n	
10152	2014-06-09	11:50:00		12:28:00		13:05:00		S19	W07	1B	170	20140609_1214-1300_big.avi\n	
10153	2014-06-09	13:25:00		13:26:00		13:28:00		S19	W12	SF	25	\n	
10154	2014-06-09	13:54:00		13:57:00		14:10:00		S11	W14	SF	45	20140609_1344-1409_big.avi\n	
10155	2014-06-10	06:20:00		06:23:00		06:36:00		S14	W28	SF	70	20140610_0611-0628_big.avi\n	
10156	2014-06-10	07:00:00		07:01:00		07:04:00		N12	W46	SF	45	\n	
10157	2014-06-10	10:21:00		10:24:00		10:40:00		S11	W25	SF	40	20140610_1012-1027_big.avi\n	
10158	2014-06-10	11:10:00		11:11:00		11:32:00		N12	W49	SF	40	\n	
10159	2014-06-10	11:40:00		11:40:00		11:55:00		S17	E76	SB	70	20140610_1126-1155_big.avi\n	
10160	2014-06-10	12:42:00		12:55:00		13:23:00		S18	E80	1F	110	20140610_1226-1317_big.avi\n	
10161	2014-06-10	13:52:00		13:55:00		13:57:00		N13	W22	SF	25	20140610_1341-1410_big.avi\n	
10162	2014-06-11	06:27:00		06:29:00		06:33:00		S12	W35	SF	35	20140611_0616-0641_big.avi\n	
10163	2014-06-11	07:04:00		07:12:00		07:21:00		S12	W36	SB	60	20140611_0658-0720_big.avi\n	
10164	2014-06-11	08:01:00		08:05:00		08:35:00		S17	E66	1B	130	\n	
10165	2014-06-11	09:01:00		09:10:00		09:25:00		S17	E65	SB	90	20140611_0849-0920_big.avi\n	
10166	2014-06-11	09:10:00		09:13:00		09:16:00		N16	W34	SF	80	20140611_0849-0920_big.avi\n	
10167	2014-06-11	09:13:00		09:14:00		09:19:00		S12	W37	SN	25	20140611_0849-0920_big.avi\n	
10168	2014-06-11	09:31:00		09:34:00		09:49:00		N16	E24	SN	35	20140611_0922-0948_big.avi\n	
10169	2014-06-11	11:40:00		11:43:00		11:49:00		S13	E59	SF	30	20140611_1129-1147_big.avi\n	
10170	2014-06-11	12:41:00		12:48:00		12:50:00		S11	W39	SF	30	20140611_1236-1250_big.avi\n	
10171	2014-06-11	13:21:00		13:24:00		13:26:00		N16	E22	SF	25	\n	
10172	2014-06-12	06:25:00		06:43:00		06:56:00		S17	E54	SN	90	20140612_0615-0650_big.avi\n	
10173	2014-06-12	06:50:00		06:53:00		06:56:00		N16	E13	SN	10	20140612_0650-0710_big.avi\n	
10174	2014-06-12	07:13:00		07:17:00		07:22:00		N16	W47	SF	60	20140612_0706-0722_big.avi\n	
10175	2014-06-12	07:37:00		07:37:00		07:49:00		N14	W44	SN	40	20140612_0726-0746_big.avi\n	
10176	2014-06-12	07:52:00		07:52:00		07:59:00		N16	E13	SF	15	\n	
10177	2014-06-12	08:47:00		08:50:00		09:02:00		S15	E53	SF	35	20140612_0837-0915_big.avi\n	
10178	2014-06-12	09:33:00		09:37:00		10:03:00		S18	W48	1B	120	20140612_0924-1005_big.avi\n	
10179	2014-06-12	09:52:00		09:53:00		09:56:00		S17	E52	SF	25	20140612_0941-0956_big.avi\n	
10180	2014-06-12	10:17:00		10:20:00		10:57:00		S18	E51	1N	120	20140612_1004-1052_big.avi\n	
10181	2014-06-13	06:35:00		06:46:00		06:46:00		N17	W01	SF	60	20140613_0635-0655_big.avi\n	
10182	2014-06-13	07:19:00		07:20:00		07:23:00		N17	W01	SF	20	\n	
10183	2014-06-13	07:46:00		07:56:00		08:17:00		S18	E38	1B	160	20140613_0743-0803_big.avi\n	
10184	2014-06-13	07:41:00		07:54:00		08:04:00		N17	W02	SF	30	20140613_0743-0803_big.avi\n	
10185	2014-06-13	08:16:00		08:24:00		08:36:00		N17	W01	SN	50	20140613_0820-0840_big.avi\n	
10186	2014-06-13	08:29:00		08:32:00		08:37:00		S19	E40	SF	45	20140613_0820-0840_big.avi\n	
10187	2014-06-13	09:08:00		09:18:00		09:27:00		S18	E39	SN	85	20140613_0904-0920_big.avi\n	
10188	2014-06-13	09:08:00		09:14:00		09:26:00		N17	W02	SF	15	20140613_0904-0920_big.avi\n	
10189	2014-06-13	11:59:00		11:59:00		12:07:00		N14	W60	SN	60	20140613_1149-1207_big.avi\n	
10190	2014-06-14	07:32:00	B	07:35:00		07:44:00		S18	E46	SF	45	20140614_0718-0751_big.avi\n	
10191	2014-06-14	09:23:00		09:38:00		10:34:00		S20	E30	1F	110	20140614_0901-1031_big.avi\n	
10192	2014-06-15	06:33:00		06:39:00	D	06:39:00		N18	W26	SF	30	20140615_0622-0649_big.avi\n	
