,Date,Quality Rating, Source Loc.,,Previous Image Time,Image Time,Speed,,Direction of Meas.
,,,N/S,E/W,,,Plane-of-Sky,Projected,
,,,,,,,,,
106,25-Jan-98,Q1,26,-53,21:24:45,21:35:05,,,S
,,,,,,21:54:51,242,246,
,,,,,,22:12:58,147,211,
107,26-Jan-98,Q3,-25,42,22:21:21,22:33:08,,,N
,,,,,,23:03:50,162,163,
108,27-Jan-98,Q3,16,-22,22:02:54,22:19:59,,,SW
,,,,,,22:34:02,181,182,
,,,,,,23:04:45,94,101,
109,29-Jan-98,Q0,24,90,15:51:11,16:03:09,,,S
,,,,,,16:21:19,68,off limb, 
110,01-Feb-98,Q2,26,-90,18:54:01,19:22:41,,,S
,,,,,,19:57:15,51,off limb, 
111,02-Feb-98,Q4,26,-90,17:32:36,17:50:31,,,S
,,,,,,18:04:30,226,261,
,,,,,,18:18:35,207,224,
,,,,,,18:32:42,78,85,
112,02-Feb-98,Q0,-31,-13,18:15:14,18:29:21,,,N
,,,,,,18:43:21,43,45,
113,10-Feb-98,Q2,28,-23,06:20:24,06:34:02,,,W
,,,,,,06:51:03,56,70,
,,,,,,07:14:12,97,133,
,,,,,,07:34:20,33,54,
114,18-Feb-98,Q1,-24,25,09:33:58,09:51:29,,,NW
,,,,,,10:03:12,400,654,
115,22-Feb-98,Q1,-18,-11,02:01:37,02:18:24, ,,N
,,,,,,02:32:27,71,71,
116,23-Feb-98,Q2,-18,-90,12:17:49,12:31:53,,,S
,,,,,,12:49:03,237,off limb,
117,27-Feb-98,Q0,17,68,09:10:13,09:33:58,,,S
,,,,,,09:51:17,165,off limb,
118,28-Feb-98,Q1,-17,-21,00:15:02,00:26:31,,,NW
,,,,,,00:40:18,237,239,
119,04-Mar-98,Q1,-25,61,17:30:28,17:35:26,,,N
,,,,,,17:40:24,324,334,
,,,,,,17:45:22,310,313,
,,,,,,17:50:04,446,484,
,,,,,,17:55:00,433,439,
120,07-Mar-98,Q2,-24,-65,06:07:22,06:24:40,,,N
,,,,,,06:50:13,62,62,
121,10-Mar-98,Q3,-26,-24,09:01:56,09:27:29,,,N
,,,,,,09:54:16,96,105,
,,,,,,10:12:26,167,215,
122,11-Mar-98,Q0,-17,50,14:53:15,15:11:27,,,N
123,13-Mar-98,Q2,-24,28,18:12:20,18:23:58,,,N
